"name","Measure","geo_type_name","geo_entity_id","geo_entity_name","data_valuemessage","avg_Rentprice"
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",102,"Northeast Bronx",2.8,1688.42857142857
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",104,"Pelham - Throgs Neck",2.7,1627.22222222222
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",106,"High Bridge - Morrisania",3,1961
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",201,"Greenpoint",3.7,3339.96
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",203,"Bedford Stuyvesant - Crown Heights",2.5,2216.8
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",205,"Sunset Park",3.2,2145.12
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",207,"East Flatbush - Flatbush",2.3,2114.84
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",209,"Bensonhurst - Bay Ridge",2.8,2194
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",211,"Williamsburg - Bushwick",2.8,1976.83333333333
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",302,"Central Harlem - Morningside Heights",3.9,2737.28
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",304,"Upper West Side",3.9,3442.17391304348
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",306,"Chelsea - Clinton",4.9,3680.68
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",308,"Greenwich Village - SoHo",4.7,4011.41666666667
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",310,"Lower Manhattan",6.3,3503.16666666667
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",402,"West Queens",2.2,2005.36
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",404,"Bayside - Little Neck",1.9,2005.36
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",406,"Fresh Meadows",1.7,2032.29166666667
"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",408,"Jamaica",1.8,1801.04
